county,month,new_cases,new_deaths,price,unemployment_rate,population
San Joaquin,3,122,7,385937,0.084,752660
San Joaquin,4,426,18,388384,0.178,752660
San Joaquin,5,340,10,389576,0.166,752660
San Joaquin,6,3015,17,390062,0.158,752660
San Joaquin,7,7658,116,392678,0.147,752660
San Joaquin,8,6246,160,395907,0.119,752660
San Luis Obispo,3,67,0,630422,0.038,284010
San Luis Obispo,4,115,1,632797,0.14,284010
San Luis Obispo,5,89,0,632094,0.129,284010
San Luis Obispo,6,332,0,633522,0.115,284010
San Luis Obispo,7,1143,14,636569,0.1,284010
San Luis Obispo,8,1205,5,640861,0.078,284010
San Mateo,3,297,12,1398185,0.028,769545
San Mateo,4,897,40,1395431,0.114,769545
San Mateo,5,975,32,1384869,0.112,769545
San Mateo,6,1137,24,1376833,0.108,769545
San Mateo,7,2110,11,1375257,0.093,769545
San Mateo,8,2649,12,1384585,0.075,769545
Santa Barbara,3,89,0,651125,0.057,446527
Santa Barbara,4,401,8,656568,0.139,446527
Santa Barbara,5,1172,4,661520,0.129,446527
Santa Barbara,6,1548,17,663913,0.115,446527
Santa Barbara,7,3165,31,665798,0.103,446527
Santa Barbara,8,1749,33,670339,0.08,446527
Santa Clara,3,777,30,1164290,0.034,1937570
Santa Clara,4,1395,81,1171084,0.117,1937570
Santa Clara,5,613,33,1176628,0.112,1937570
Santa Clara,6,1691,13,1186198,0.107,1937570
Santa Clara,7,5387,34,1201319,0.094,1937570
Santa Clara,8,7348,53,1226635,0.075,1937570
Santa Cruz,3,40,1,841515,0.081,274255
Santa Cruz,4,86,1,844090,0.17,274255
Santa Cruz,5,84,1,846648,0.146,274255
Santa Cruz,6,181,0,849202,0.131,274255
Santa Cruz,7,727,1,856794,0.113,274255
Santa Cruz,8,624,3,871444,0.086,274255
Shasta,3,5,1,276438,0.069,180040
Shasta,4,26,3,277990,0.156,180040
Shasta,5,7,0,279123,0.13,180040
Shasta,6,65,1,279696,0.115,180040
Shasta,7,202,4,281258,0.104,180040
Shasta,8,223,3,284154,0.083,180040
Sierra,3,0,0,241652,0.086,2987
Sierra,4,0,0,241489,0.146,2987
Sierra,5,1,0,241623,0.125,2987
Sierra,6,0,0,241602,0.113,2987
Sierra,7,0,0,241313,0.094,2987
Sierra,8,5,0,240355,0.077,2987
Siskiyou,3,3,0,216580,0.106,43724
Siskiyou,4,2,0,216517,0.157,43724
Siskiyou,5,2,0,216422,0.135,43724
Siskiyou,6,20,0,216298,0.124,43724
Siskiyou,7,34,0,217062,0.112,43724
Siskiyou,8,66,0,218011,0.091,43724
Solano,3,56,0,462513,0.051,446610
Solano,4,206,5,463124,0.151,446610
Solano,5,250,17,464220,0.144,446610
Solano,6,805,2,464741,0.136,446610
Solano,7,2193,13,463868,0.125,446610
Solano,8,1792,10,463728,0.103,446610
Sonoma,3,58,1,660048,0.037,499942
Sonoma,4,175,2,658932,0.145,499942
Sonoma,5,322,1,656157,0.13,499942
Sonoma,6,604,3,652802,0.116,499942
Sonoma,7,1586,25,651350,0.1,499942
Sonoma,8,2905,48,653186,0.077,499942
Stanislaus,3,28,0,333104,0.084,549815
Stanislaus,4,350,11,334509,0.175,549815
Stanislaus,5,360,18,337503,0.162,549815
Stanislaus,6,1867,15,340197,0.15,549815
Stanislaus,7,6456,60,344481,0.136,549815
Stanislaus,8,5624,154,347812,0.109,549815
Sutter,3,8,0,322652,0.113,96807
Sutter,4,20,2,325106,0.182,96807
Sutter,5,14,0,327777,0.161,96807
Sutter,6,139,1,328871,0.15,96807
Sutter,7,533,3,328469,0.135,96807
Sutter,8,651,4,328612,0.107,96807
Tehama,3,0,0,237849,0.079,63916
Tehama,4,1,1,238458,0.144,63916
Tehama,5,3,0,239634,0.127,63916
Tehama,6,74,0,240238,0.118,63916
Tehama,7,135,0,242027,0.111,63916
Tehama,8,208,0,243361,0.088,63916
Trinity,3,0,0,278827,0.092,12535
Trinity,4,0,0,278523,0.127,12535
Trinity,5,1,0,278382,0.107,12535
Trinity,6,1,0,278024,0.096,12535
Trinity,7,3,0,279763,0.087,12535
Trinity,8,8,0,281967,0.068,12535
Tulare,3,42,1,225652,0.147,465861
Tulare,4,595,39,227600,0.193,465861
Tulare,5,1247,44,229101,0.182,465861
Tulare,6,2422,42,231204,0.171,465861
Tulare,7,5059,52,234398,0.161,465861
Tulare,8,4620,54,237426,0.131,465861
Tuolumne,3,1,0,294515,0.065,54539
Tuolumne,4,2,0,293022,0.173,54539
Tuolumne,5,1,0,292241,0.166,54539
Tuolumne,6,12,0,291804,0.143,54539
Tuolumne,7,104,2,291860,0.127,54539
Tuolumne,8,58,0,292342,0.102,54539
Ventura,3,143,4,612419,0.047,850967
Ventura,4,404,14,613582,0.139,850967
Ventura,5,604,15,615640,0.137,850967
Ventura,6,2005,13,617934,0.126,850967
Ventura,7,4365,30,621281,0.114,850967
Ventura,8,3345,40,624692,0.091,850967
Yolo,3,21,1,471517,0.06,220408
Yolo,4,143,15,470927,0.116,220408
Yolo,5,47,8,470356,0.106,220408
Yolo,6,311,0,470936,0.105,220408
Yolo,7,1000,17,471606,0.095,220408
Yolo,8,901,11,472727,0.075,220408
Yuba,3,5,0,292234,0.086,78041
Yuba,4,10,1,293667,0.161,78041
Yuba,5,11,0,295073,0.154,78041
Yuba,6,30,0,296192,0.143,78041
Yuba,7,313,3,298019,0.135,78041
Yuba,8,461,2,299591,0.108,78041
